Calls,Cost,Prior Purchases,Importance,Discount,Weight (gram),Late
4,185,3,1,10,2263,1
4,176,4,2,52,1096,1
3,148,3,0,56,1550,1
3,270,3,0,63,2751,1
3,242,3,0,51,3935,1
4,150,2,1,3,1285,1
4,192,3,2,20,3872,1
4,116,3,1,54,1314,1
3,192,3,1,2,3995,1
5,255,4,1,3,3440,1
4,161,7,1,18,1294,1
4,157,3,0,20,1487,1
3,164,10,2,28,1940,1
3,162,7,1,16,1052,1
3,146,2,0,50,1486,1
3,209,3,1,54,3001,1
5,134,2,1,55,1386,1
2,222,2,1,5,3778,1
2,139,3,0,27,1233,1
2,134,3,0,42,1415,1
2,130,3,0,16,1092,1
2,133,3,0,62,1596,1
2,140,3,0,7,1411,1
2,158,3,0,28,1968,1
4,270,4,0,46,1736,1
2,140,3,0,30,1030,1
2,135,3,0,15,1339,1
2,136,3,0,19,1568,1
2,142,3,1,38,7640,1
2,154,3,1,38,7846,1
2,139,3,0,9,1471,1
2,160,3,0,43,1251,1
2,134,3,0,58,1067,1
5,161,5,2,48,1883,1
2,155,3,0,23,1602,1
2,145,3,1,24,7588,1
2,157,3,0,1,1477,1
2,160,3,0,48,1691,1
2,152,3,0,55,1498,1
2,148,3,2,11,1502,1
2,127,3,0,15,1522,1
2,154,3,0,21,1113,1
2,127,3,0,44,1341,1
2,160,3,1,31,7401,1
2,129,3,0,48,1219,1
2,158,3,0,40,1722,1
4,185,3,1,3,3131,1
4,176,4,2,63,1293,1
3,148,3,0,37,1523,1
3,270,3,0,60,3885,1
3,242,3,0,29,2381,1
4,150,2,1,31,1588,1
4,192,3,2,4,2061,1
4,116,3,1,9,1314,1
3,192,3,1,31,3331,1
5,255,4,1,38,2771,1
4,161,7,1,63,1496,1
4,157,3,0,48,1393,1
3,164,10,2,14,1375,1
3,162,7,1,42,1278,1
3,146,2,0,54,1528,1
3,209,3,1,60,2240,1
5,134,2,1,53,1088,1
2,222,2,1,58,3626,1
2,139,3,0,39,1582,1
2,134,3,0,38,1352,1
2,130,3,0,48,1801,1
2,133,3,0,5,1268,1
2,140,3,0,23,1372,1
2,158,3,0,10,1515,1
4,270,4,0,65,1818,1
2,140,3,0,33,1278,1
2,135,3,0,58,1734,1
2,136,3,0,43,1958,1
2,142,3,1,8,6064,1
2,154,3,1,48,7684,1
2,139,3,0,3,1788,1
2,160,3,0,50,1030,1
2,134,3,0,38,1530,1
5,161,5,2,54,1511,1
2,155,3,0,45,1639,1
2,145,3,1,5,6102,1
2,157,3,0,58,1930,1
2,160,3,0,19,1399,1
2,152,3,0,61,1800,1
2,148,3,2,35,1349,1
2,127,3,0,13,1128,1
2,129,3,1,22,6614,1
2,158,3,0,13,1245,1
2,147,3,0,5,1920,1
2,159,3,0,49,1621,1
2,151,3,0,23,1930,1
3,294,4,0,52,1089,1
3,226,2,1,45,1446,1
5,271,5,2,9,1813,1
7,203,5,1,61,1856,1
2,264,4,0,10,1648,1
4,258,3,1,36,2211,1
3,241,3,0,21,3078,1
4,208,3,1,23,2056,1
3,209,5,1,12,3054,1
5,182,2,1,23,2707,1
4,148,2,1,43,1087,1
2,183,2,1,52,3199,1
3,229,6,1,22,2717,1
5,115,5,0,26,1692,1
4,136,3,0,65,1962,1
4,212,3,0,21,3307,1
4,171,3,0,24,1304,1
3,151,2,0,60,1925,1
3,205,3,1,39,3062,1
5,147,3,1,23,1132,1
3,155,3,0,29,1712,1
5,165,3,0,20,1150,1
5,230,3,0,32,3249,1
2,181,4,1,13,2309,1
5,234,2,0,55,3308,1
4,149,3,0,34,1977,1
5,156,2,0,44,1561,1
4,172,3,1,59,1858,1
4,270,3,0,12,3279,1
4,206,3,1,23,3807,1
4,211,4,1,40,3106,1
3,136,4,0,62,1090,1
5,186,2,2,52,3981,1
3,202,2,1,62,3398,1
4,183,3,1,12,3646,1
4,232,2,0,36,2861,1
4,147,4,1,52,1129,1
4,136,3,1,20,1531,1
5,127,3,0,43,1446,1
4,202,2,1,35,3695,1
3,241,2,0,57,3671,1
4,222,2,1,55,3833,1
3,183,4,1,12,2777,1
4,249,3,1,36,3769,1
3,243,4,2,59,3838,1
3,163,3,1,9,1257,1
4,165,2,2,11,1596,1
5,266,3,1,53,3089,1
3,193,2,1,48,3909,1
3,154,3,0,56,1136,1
3,140,3,1,51,1046,1
4,272,3,1,38,3705,1
4,143,6,1,20,1654,1
4,138,3,0,30,1805,1
4,238,2,2,17,3358,1
4,273,4,1,31,2373,1
3,200,2,1,27,2551,1
4,213,4,0,39,2381,1
3,224,2,1,15,2701,1
4,141,3,1,12,1672,1
3,150,3,0,46,1040,1
3,192,2,0,33,2818,1
5,279,4,1,24,3440,1
3,246,3,1,30,3748,1
3,173,3,1,52,1587,1
4,233,4,1,59,2358,1
5,274,2,1,24,2423,1
4,243,4,1,41,2782,1
3,197,3,1,56,3427,1
4,140,3,2,46,1072,1
3,215,3,1,22,2585,1
3,211,3,1,8,3710,1
4,220,5,0,33,2854,1
3,194,4,0,64,2026,1
5,262,3,1,58,3599,1
4,201,2,0,1,3147,1
3,261,3,1,15,2989,1
4,191,6,0,60,3425,1
2,255,5,1,53,3775,1
3,169,2,2,30,1698,1
4,162,2,1,64,1918,1
2,248,6,0,62,2750,1
5,197,4,0,2,2222,1
5,264,3,0,6,2882,1
5,260,2,1,55,2791,1
5,186,2,1,58,2259,1
4,233,4,0,44,2551,1
5,161,3,0,47,1954,1
4,188,3,0,13,2409,1
5,171,2,1,22,1695,1
2,267,3,1,15,2481,1
4,255,2,2,47,2956,1
3,132,3,0,56,1303,1
5,266,3,0,31,3157,1
3,198,2,0,25,2774,1
2,247,2,1,62,3127,1
3,140,3,1,65,1291,1
4,131,5,0,6,1659,1
5,246,3,1,49,3236,1
3,159,3,1,4,1681,1
3,203,2,1,61,3642,1
4,187,4,2,29,3141,1
6,146,3,0,62,1936,1
3,234,3,1,39,2099,1
3,122,3,2,15,1354,1
3,135,3,0,8,1074,1
3,103,3,0,3,1403,1
3,257,3,1,19,2173,1
4,169,2,0,2,1399,1
4,159,3,1,18,1808,1
4,188,3,0,38,3031,1
5,136,3,1,19,1420,1
5,227,3,0,19,3007,1
3,262,2,0,53,3275,1
2,157,2,0,45,1965,1
5,238,2,1,21,2053,1
3,152,3,0,43,1282,1
3,201,3,1,5,2040,1
3,148,2,0,54,1778,1
5,199,4,0,59,2885,1
5,215,2,0,45,3501,1
4,175,2,0,40,1270,1
4,236,2,2,23,3123,1
2,182,2,1,57,2896,1
3,251,3,1,42,3698,1
5,173,3,0,7,1855,1
4,225,3,0,62,2587,1
4,167,4,0,20,1705,1
4,259,3,0,20,2154,1
4,178,3,1,63,1573,1
4,178,4,1,13,1614,1
5,169,2,0,20,1765,1
3,272,2,0,33,2321,1
4,183,3,0,29,3251,1
3,205,3,0,10,2728,1
2,123,4,0,53,1036,1
4,152,3,0,58,1453,1
3,220,2,2,40,3773,1
4,134,3,0,51,1965,1
3,217,2,2,19,2992,1
3,265,3,0,49,2791,1
4,249,5,1,36,3836,1
5,213,4,1,50,2003,1
2,124,3,0,56,1494,1
4,180,2,0,23,1193,1
4,193,3,1,65,2267,1
3,192,3,1,43,3339,1
2,166,3,1,3,1832,1
3,264,3,1,5,3861,1
3,200,2,1,14,3528,1
4,142,4,1,12,1396,1
4,215,2,0,32,3066,1
2,218,2,0,15,2745,1
3,115,3,0,27,1814,1
4,159,3,0,33,1330,1
5,133,3,0,63,1218,1
5,178,3,0,48,1517,1
4,134,2,0,43,1714,1
3,184,5,1,58,2544,1
4,251,2,1,24,2405,1
3,141,3,0,7,1933,1
4,229,2,1,45,3776,1
4,203,4,0,34,3813,1
4,158,3,1,57,1911,1
3,167,3,1,52,1755,1
5,197,4,0,40,3303,1
2,140,3,0,19,1806,1
5,205,2,1,27,3569,1
5,208,3,0,45,2018,1
4,96,3,0,22,1294,1
6,205,3,0,44,2064,1
4,215,3,1,48,2953,1
4,216,3,0,43,2643,1
3,112,2,2,22,1846,1
5,222,3,0,20,3632,1
5,186,3,1,15,2153,1
3,241,3,1,48,2841,1
3,172,3,0,58,1269,1
3,251,2,2,23,2426,1
5,190,3,2,45,2628,1
4,186,2,1,48,2805,1
4,207,2,1,35,2596,1
3,135,3,0,19,1366,1
4,189,2,1,18,2955,1
4,173,5,1,51,1691,1
3,194,3,1,3,2169,1
3,183,3,0,19,3018,1
4,140,2,0,22,1248,1
4,244,3,1,55,2782,1
2,189,4,0,34,3355,1
3,157,2,1,53,1390,1
4,275,10,1,23,2726,1
4,133,3,0,53,1467,1
4,149,3,1,54,1178,1
3,254,2,2,17,3153,1
3,145,8,0,15,1429,1
3,179,5,0,52,1991,1
5,168,3,0,26,1526,1
4,202,3,1,18,3940,1
3,220,7,0,43,2620,1
3,244,8,0,1,2703,1
4,186,7,1,40,3111,1
5,263,8,1,24,3139,1
3,294,4,0,15,1318,1
3,226,2,1,2,1043,1
4,173,5,1,2,1175,1
3,194,3,1,10,2277,1
3,183,3,0,2,3459,1
4,140,2,0,61,1770,1
4,244,3,1,8,3318,1
2,189,4,0,9,3413,1
3,157,2,1,39,1525,1
4,275,10,1,10,2093,1
4,133,3,0,59,1092,1
4,149,3,1,26,1863,1
3,254,2,2,41,3973,1
3,145,8,0,24,1594,1
3,179,5,0,56,1113,1
5,168,3,0,13,1317,1
4,202,3,1,46,3181,1
3,220,7,0,25,2141,1
3,244,8,0,50,3562,1
4,186,7,1,30,2062,1
5,263,8,1,9,2236,1
3,294,4,0,25,1498,1
4,139,3,0,56,1811,1
7,192,3,0,46,1550,1
3,235,3,0,5,3065,1
2,176,3,0,15,1996,1
5,224,3,0,34,2627,1
3,128,3,1,51,1524,1
5,226,5,0,47,2240,1
5,160,5,1,16,1526,1
3,197,5,0,45,2224,1
4,216,3,0,12,2273,1
4,199,2,0,9,3075,1
5,271,2,0,27,3957,1
5,201,3,0,47,2657,1
3,212,2,0,33,2021,1
3,177,3,0,10,1641,1
3,191,4,1,43,2903,1
3,174,3,0,30,1986,1
5,162,2,0,14,1045,1
3,219,2,0,39,2696,1
4,155,3,1,35,1421,1
5,230,3,1,3,2923,1
4,192,2,1,36,2497,1
5,235,3,0,14,2984,1
3,200,3,0,46,3642,1
5,172,3,1,65,1667,1
5,160,4,0,6,1603,1
5,250,5,0,12,2722,1
4,174,3,0,9,1682,1
3,204,3,2,54,3608,1
3,274,3,1,51,3476,1
5,262,2,1,62,3744,1
4,138,3,1,23,1785,1
3,215,3,1,2,3873,1
3,145,2,0,34,1773,1
4,149,2,1,56,1141,1
6,212,2,1,38,2359,1
3,155,3,1,47,1193,1
5,154,3,0,40,1238,1
3,249,3,1,51,2173,1
5,206,2,0,2,3490,1
4,235,3,1,22,2015,1
5,261,3,1,8,3257,1
6,243,4,2,22,3537,1
3,237,2,2,26,3103,1
2,179,2,0,19,1900,1
4,192,3,0,43,3498,1
3,141,3,1,39,1838,1
3,245,3,0,61,2188,1
4,177,4,1,32,1774,1
2,154,4,2,17,1897,1
4,228,3,1,12,3359,1
3,207,6,2,24,3702,1
4,266,4,1,33,2701,1
3,172,3,1,42,1707,1
4,142,3,0,35,1512,1
4,218,3,0,40,3200,1
3,231,2,0,46,2962,1
4,180,3,0,47,1434,1
3,168,3,0,46,1886,1
5,147,4,2,42,1642,1
5,245,5,0,6,3592,1
2,182,3,1,47,3792,1
3,176,3,1,8,1567,1
5,197,4,1,51,2917,1
3,233,3,1,52,3519,1
3,156,2,0,8,1145,1
2,257,4,1,52,2073,1
5,250,3,0,11,3373,1
5,189,5,0,3,3301,1
3,255,2,2,7,3311,1
2,198,2,1,28,3514,1
4,164,3,1,15,1489,1
5,271,3,1,32,3785,1
3,185,2,1,34,3299,1
2,157,6,2,17,1764,1
3,137,2,1,17,1673,1
3,229,3,0,14,2164,1
3,234,2,1,39,2449,1
4,216,2,0,52,3578,1
3,163,4,0,20,1940,1
5,268,3,0,19,2526,1
3,205,5,1,35,2988,1
4,265,2,1,18,2969,1
2,236,3,1,3,3416,1
4,132,3,0,63,1901,1
3,234,2,1,46,3108,1
4,108,6,0,22,1745,1
4,276,2,0,54,3706,1
4,179,4,0,1,1063,1
4,230,3,1,40,2225,1
3,210,3,1,43,2096,1
3,173,3,0,15,1992,1
2,201,3,1,29,3894,1
3,214,2,0,21,3342,1
4,216,2,1,22,3024,1
2,144,3,1,61,1313,1
5,182,3,1,27,3039,1
3,163,2,1,48,1369,1
3,234,3,1,8,2334,1
3,158,3,2,59,1307,1
3,194,2,1,4,3496,1
3,201,6,1,3,2497,1
3,178,2,1,59,1933,1
4,214,5,1,51,2669,1
3,281,2,1,55,3047,1
3,260,3,1,2,2176,1
3,200,2,1,46,3174,1
5,209,2,2,49,2581,1
3,185,3,0,61,3280,1
4,230,3,0,62,2236,1
3,134,3,1,31,1540,1
4,270,2,0,34,2821,1
4,140,3,1,1,1464,1
6,133,5,1,32,1367,1
3,145,3,1,44,1218,1
4,206,3,1,58,2135,1
3,162,2,0,52,1125,1
4,187,2,0,58,3665,1
4,166,5,0,54,1203,1
4,178,3,0,48,1819,1
3,167,2,2,34,1967,1
4,224,3,2,60,3145,1
4,158,3,1,11,1224,1
3,134,2,1,43,1198,1
4,147,2,1,20,1387,1
4,187,3,0,61,2207,1
4,247,2,1,18,2404,1
5,182,4,2,20,2212,1
4,177,4,1,33,1049,1
5,143,2,2,18,1066,1
5,245,2,1,8,3231,1
4,133,4,1,64,1834,1
3,224,2,0,13,3891,1
2,265,2,0,50,3859,1
4,138,2,0,28,1528,1
3,253,3,0,6,3788,1
4,165,3,1,51,1293,1
4,265,3,0,65,3578,1
3,238,3,2,54,3142,1
5,236,3,0,51,3402,1
4,190,5,2,38,3022,1
6,104,4,1,23,1442,1
4,245,2,0,19,2616,1
3,155,3,1,27,1022,1
3,233,3,0,63,2143,1
4,171,4,0,55,1539,1
2,164,2,0,56,1491,1
3,141,3,0,6,1361,1
5,266,2,0,61,2118,1
3,192,2,0,56,3765,1
3,229,6,1,61,2298,1
6,269,4,1,38,3171,1
3,247,4,0,59,2939,1
4,157,2,0,2,1087,1
3,148,3,1,64,1280,1
4,240,2,0,14,2437,1
4,197,4,1,58,3617,1
6,121,5,0,23,1734,1
4,124,3,2,60,1107,1
4,153,3,1,53,1185,1
5,105,4,2,1,1622,1
4,202,3,1,2,3962,1
5,162,2,0,54,1635,1
3,164,3,1,13,1158,1
3,231,4,1,48,3370,1
5,209,4,1,12,2933,1
3,157,2,2,19,1898,1
4,249,2,0,4,2725,1
2,264,2,0,63,2896,1
3,111,4,0,61,1844,1
3,242,3,1,10,3606,1
4,169,3,0,23,1058,1
5,138,2,0,13,1056,1
5,158,3,0,9,1483,1
5,146,4,0,5,1718,1
4,218,5,1,36,2995,1
3,178,2,1,22,1247,1
4,197,3,0,34,3784,1
3,243,2,1,17,3230,1
5,254,4,2,37,2608,1
3,237,4,0,33,2782,1
5,179,3,0,62,1945,1
3,189,3,1,38,2108,1
4,244,3,1,1,3982,1
3,266,2,1,46,3594,1
5,263,3,2,10,2538,1
3,247,2,1,39,3189,1
4,202,3,0,6,2616,1
4,227,3,1,1,2761,1
4,189,2,0,15,2457,1
6,160,2,0,31,1689,1
3,117,3,1,56,1618,1
3,202,2,2,52,2312,1
4,201,3,1,54,2487,1
3,273,2,1,39,2651,1
4,143,2,1,58,1038,1
4,137,4,2,29,1262,1
5,236,3,2,34,3455,1
4,241,2,0,17,3844,1
4,187,2,0,6,3625,1
4,273,2,2,63,3516,1
5,170,3,0,15,1314,1
3,138,3,0,37,1266,1
5,150,2,0,60,1034,1
5,140,3,2,42,1384,1
4,250,2,0,17,3544,1
3,207,7,1,19,2182,1
4,214,3,0,36,2684,1
4,179,3,0,63,1215,1
5,149,4,1,20,1110,1
3,151,2,0,16,1422,1
4,264,3,1,23,2376,1
6,113,3,2,31,1037,1
6,281,3,1,36,2536,1
4,197,7,1,43,3730,1
3,265,8,0,35,3299,1
4,259,3,0,47,3764,1
5,200,8,0,18,3806,1
2,111,2,2,60,1787,1
3,223,3,1,53,3670,1
3,241,3,0,5,2713,1
4,139,3,0,25,1152,1
7,192,3,0,38,1372,1
3,117,3,1,23,1527,1
3,202,2,2,21,3120,1
4,201,3,1,39,2066,1
3,273,2,1,16,2466,1
4,143,2,1,64,1910,1
4,137,4,2,15,1391,1
5,236,3,2,47,3519,1
4,241,2,0,39,2935,1
4,187,2,0,44,3218,1
4,273,2,2,43,3462,1
5,170,3,0,12,1018,1
3,138,3,0,54,1648,1
5,150,2,0,2,1682,1
5,140,3,2,56,1332,1
4,250,2,0,46,2878,1
3,207,7,1,46,2670,1
4,214,3,0,18,2574,1
4,179,3,0,45,1903,1
5,149,4,1,48,1068,1
3,151,2,0,4,1748,1
4,264,3,1,16,2245,1
6,113,3,2,35,1402,1
6,281,3,1,11,2135,1
4,197,7,1,22,2065,1
3,265,8,0,2,3622,1
4,259,3,0,39,2427,1
5,200,8,0,9,2741,1
2,111,2,2,10,1920,1
3,223,3,1,6,2127,1
3,241,3,0,22,3030,1
4,139,3,0,65,1277,1
7,192,3,0,33,1694,1
3,180,4,1,59,1481,1
3,153,5,0,35,1089,1
2,280,4,0,48,1463,1
7,243,5,1,28,1100,1
3,214,2,0,50,3881,1
4,177,2,0,6,1112,1
3,182,3,1,39,3828,1
4,185,3,1,17,2824,1
3,143,3,1,23,1281,1
3,162,3,1,7,1901,1
3,171,2,0,34,1999,1
5,227,3,0,14,2589,1
3,205,6,0,25,2232,1
3,258,3,0,17,3033,1
4,195,5,1,10,3537,1
4,224,2,0,8,3638,1
2,192,6,0,41,2673,1
3,202,3,1,35,3986,1
5,235,2,1,12,3358,1
3,218,3,0,22,3818,1
6,176,4,1,31,1262,1
3,221,2,1,26,3120,1
3,157,3,0,32,1370,1
4,259,4,0,13,2495,1
2,249,3,0,11,2534,1
4,263,5,0,62,2292,1
4,141,3,0,2,1915,1
4,114,3,1,9,1240,1
3,179,4,0,44,1004,1
4,179,3,1,40,1584,1
3,193,3,0,47,3523,1
3,137,3,1,23,1246,1
3,110,3,0,55,1875,1
3,270,3,1,61,3582,1
5,175,3,1,64,1110,1
5,234,2,0,12,2372,1
2,177,3,1,48,1113,1
3,153,2,0,24,1442,1
4,252,3,0,16,2332,1
2,122,2,0,32,1213,1
4,215,2,1,34,2258,1
3,140,4,0,47,1207,1
3,209,2,0,43,2237,1
2,144,3,2,40,1500,1
4,210,3,0,16,2046,1
5,160,3,1,22,1693,1
5,134,2,0,20,1549,1
3,138,3,1,34,1159,1
4,200,2,1,65,3485,1
5,133,2,1,30,1161,1
2,121,5,0,32,1788,1
4,257,3,1,5,2489,1
4,255,4,0,14,3099,1
4,158,3,0,32,1061,1
4,248,4,0,49,2322,1
2,194,4,1,65,3795,1
4,184,3,1,19,2774,1
5,249,4,1,38,2797,1
5,170,2,1,36,1278,1
3,261,2,1,1,3398,1
3,262,2,0,26,2370,1
4,224,3,1,9,2952,1
3,130,2,1,42,1213,1
4,133,3,0,57,1379,1
3,145,4,0,58,1751,1
2,136,6,0,53,1213,1
4,163,5,0,24,1658,1
3,183,3,0,45,2181,1
5,216,3,1,1,2434,1
4,182,3,1,28,2005,1
4,191,3,0,19,2392,1
3,140,2,2,7,1401,1
4,161,3,2,59,1165,1
4,200,4,0,43,2747,1
4,176,3,1,36,1891,1
5,247,3,0,32,3645,1
3,262,2,0,15,3287,1
4,154,2,0,49,1532,1
3,186,3,1,11,3800,1
2,98,3,0,29,1806,1
3,268,3,0,33,3872,1
5,178,2,1,60,1830,1
3,142,2,2,18,1428,1
4,160,3,0,33,1837,1
5,232,2,1,24,2174,1
4,209,2,0,23,2533,1
4,230,3,1,33,3602,1
5,223,3,0,40,2074,1
4,201,3,2,7,2644,1
3,224,3,1,20,2937,1
2,251,3,0,2,3351,1
3,145,6,1,57,1949,1
5,271,3,1,16,2563,1
3,218,4,1,60,3048,1
3,229,2,0,51,2628,1
5,278,2,0,17,2493,1
2,168,3,0,15,1886,1
5,151,6,1,12,1920,1
3,232,3,0,9,2958,1
3,140,2,0,16,1685,1
4,141,3,0,34,1619,1
5,182,5,1,23,3398,1
4,139,5,0,52,1977,1
5,145,5,1,22,1818,1
4,140,3,1,11,1911,1
3,267,3,1,62,3589,1
3,191,3,2,60,2069,1
4,133,4,1,52,1401,1
4,170,2,0,1,1446,1
4,170,2,0,57,1533,1
3,149,4,1,21,1636,1
5,279,2,1,1,3933,1
4,121,2,1,11,1906,1
3,139,2,0,63,1767,1
3,265,2,2,64,2493,1
5,239,5,1,24,2472,1
4,119,5,1,5,1841,1
4,265,4,0,30,3896,1
5,144,6,1,35,1009,1
3,148,2,0,58,1537,1
5,269,2,1,38,2770,1
2,188,3,1,51,3191,1
3,187,2,2,8,3725,1
6,168,5,2,65,1601,1
4,199,2,0,46,3371,1
4,261,3,0,10,2802,1
3,218,3,0,4,2304,1
3,196,3,0,64,2911,1
4,147,3,1,46,1469,1
4,208,3,2,17,2777,1
3,178,5,0,15,1242,1
4,197,3,1,20,3080,1
2,206,2,0,30,3955,1
4,222,3,1,45,3158,1
3,247,2,1,55,3461,1
4,222,3,1,25,2582,1
6,205,5,0,14,3213,1
5,244,3,0,8,3571,1
2,194,6,1,39,3770,1
4,190,2,0,36,3548,1
3,169,2,0,17,1242,1
3,251,2,0,5,3443,1
2,161,2,1,1,1642,1
3,252,4,0,29,2353,1
4,271,3,0,19,2693,1
5,150,3,1,21,1187,1
3,212,3,2,6,2069,1
5,198,4,2,65,3407,1
3,266,2,2,33,3798,1
3,255,4,0,12,2266,1
4,166,3,2,3,1453,1
3,232,2,0,39,2139,1
3,198,2,1,62,3015,1
4,170,3,0,21,1588,1
4,162,2,0,16,1014,1
3,135,3,0,22,1378,1
3,242,3,1,19,3753,1
4,206,3,1,20,2247,1
5,253,6,1,59,2627,1
5,208,3,1,35,3884,1
3,250,3,0,33,3463,1
4,143,2,1,3,1996,1
5,236,3,1,62,3365,1
4,147,3,0,13,1145,1
2,113,5,0,43,1638,1
5,165,2,2,54,1190,1
4,235,4,0,22,2066,1
4,186,10,0,42,3521,1
4,274,10,1,29,2949,1
2,163,3,1,37,1079,1
4,161,3,0,6,1386,1
4,264,2,0,35,2336,1
3,255,2,1,42,3459,1
4,258,3,1,3,3928,1
5,261,8,1,39,2103,1
5,188,7,1,3,3637,1
3,188,3,2,11,3072,1
3,160,10,1,25,1548,1
3,214,2,0,26,3503,1
4,209,8,1,46,3345,1
4,208,7,2,8,2193,1
3,265,4,0,47,2557,1
4,161,2,2,41,1992,1
5,217,3,2,61,3067,1
3,210,2,0,52,2444,1
3,179,2,0,60,1808,1
